feature,importance
categorical__Bidder_513987320,0.5788253580329881
categorical__Bidder_395193,0.18523391189649777
categorical__Bidder_635154720,0.0686279073963838
numeric__Bidder.Volume,0.034136240797480955
numeric__Seller.Volume,0.031790486864832594
categorical__Bidder_24385873,0.026292346974738343
categorical__Bidder_124312799,0.01801805972189586
categorical__Bidder_434498370,0.01497952827243069
categorical__Bidder_492251369,0.00833632746270503
categorical__Bidder_587197643,0.005399075300393805
categorical__Seller_221551211,0.004194627137993852
categorical__Bidder_11869560,0.0031278161156185467
categorical__Bidder_12798730,0.002017711508714343
categorical__Bidder_177830055,0.0019392293150056923
categorical__Bidder_399983466,0.0017389430673839337
